x,Cf,Cf_theory
0.084935,0.000698899,0.000371562
0.0852176,0.000678888,0.000370945
0.0855003,0.000487109,0.000370331
0.0857829,0.000663402,0.000369721
0.0860656,0.000494484,0.000369113
0.0863482,0.000647117,0.000368508
0.0866309,0.000477296,0.000367907
0.0869135,0.000641147,0.000367308
0.0871962,0.000673661,0.000366712
0.0874788,0.000432798,0.000366119
0.0877614,0.00039849,0.000365529
0.0880441,0.000433233,0.000364942
0.0883267,0.000658452,0.000364358
0.0886094,0.000572977,0.000363776
0.088892,0.00065743,0.000363197
0.0891747,0.000693974,0.000362621
0.0894573,0.000408944,0.000362048
0.08974,0.00059534,0.000361477
0.0900226,0.000409584,0.00036091
0.0903053,0.000685595,0.000360344
0.0905879,0.000670086,0.000359782
0.0908333,5.08543e-05,0.000359295
0.0908705,0.00058352,0.000359222
0.0911532,0.000449519,0.000358664
0.0914358,0.000558329,0.00035811
0.0917185,0.000457166,0.000357557
0.0920011,0.000667764,0.000357008
0.0922838,0.000506969,0.000356461
0.0925664,0.00074758,0.000355916
0.0928491,0.000504557,0.000355374
0.0931317,0.000599876,0.000354834
0.0934144,0.000457753,0.000354297
0.093697,0.000620678,0.000353762
0.0939796,0.000527991,0.00035323
0.0942623,0.000538685,0.0003527
0.0945449,0.000537377,0.000352172
0.0948276,0.000478265,0.000351647
0.0951102,0.000647811,0.000351124
0.0953929,0.000433656,0.000350603
0.0956755,0.000418955,0.000350085
0.0959582,0.000568058,0.000349569
0.0962408,0.000451388,0.000349056
0.0965235,0.000395973,0.000348544
0.0968061,0.000479631,0.000348035
0.0970888,0.000676707,0.000347528
0.0973714,0.00050396,0.000347023
0.097654,0.000606923,0.000346521
0.0979367,0.000485821,0.00034602
0.0982193,0.000598848,0.000345522
0.098502,0.000648768,0.000345026
0.0987846,0.000702968,0.000344532
0.0990673,0.000887455,0.00034404
0.0991667,5.60399e-05,0.000343868
0.0993499,0.000634852,0.00034355
0.0996326,0.000519398,0.000343063
0.0999152,0.000501343,0.000342577
0.100198,0.000480681,0.000342094
0.10048,0.000674845,0.000341612
0.100763,0.000480914,0.000341133
0.101046,0.000591786,0.000340655
0.101328,0.000484694,0.00034018
0.101611,0.00042218,0.000339706
0.101894,0.000489169,0.000339235
0.102176,0.000615219,0.000338765
0.102459,0.000467454,0.000338298
0.102742,0.000567461,0.000337832
0.103024,0.000467886,0.000337368
0.103307,0.000563699,0.000336906
0.10359,0.000509964,0.000336447
0.103872,0.000398128,0.000335988
0.104155,0.000495837,0.000335532
0.104438,0.000656361,0.000335078
0.10472,0.000482077,0.000334625
0.105003,0.00057244,0.000334175
0.105285,0.000470565,0.000333726
0.105568,0.00058827,0.000333279
0.105851,0.000569255,0.000332834
